dataset,sequence_identity,num_clusters
Fold01_200x_PE_samples_BINPACKER,1.00,648
Fold01_200x_PE_samples_BINPACKER,0.99,555
Fold01_200x_PE_samples_BINPACKER,0.98,520
Fold01_200x_PE_samples_BINPACKER,0.97,499
Fold01_200x_PE_samples_BINPACKER,0.96,479
Fold01_200x_PE_samples_BINPACKER,0.95,467
Fold01_200x_PE_samples_BINPACKER,0.94,460
Fold01_200x_PE_samples_BINPACKER,0.93,450
Fold01_200x_PE_samples_BINPACKER,0.92,441
Fold01_200x_PE_samples_BINPACKER,0.91,435
Fold01_200x_PE_samples_BINPACKER,0.90,430
Fold01_200x_PE_samples_BINPACKER,0.80,408
Fold01_200x_PE_samples_BINPACKER,0.70,369
Fold01_200x_PE_samples_BINPACKER,0.60,327
Fold01_200x_PE_samples_BINPACKER,0.50,249
Fold01_200x_PE_samples_BRIDGER,1.00,511
Fold01_200x_PE_samples_BRIDGER,0.99,481
Fold01_200x_PE_samples_BRIDGER,0.98,454
Fold01_200x_PE_samples_BRIDGER,0.97,442
Fold01_200x_PE_samples_BRIDGER,0.96,420
Fold01_200x_PE_samples_BRIDGER,0.95,410
Fold01_200x_PE_samples_BRIDGER,0.94,400
Fold01_200x_PE_samples_BRIDGER,0.93,389
Fold01_200x_PE_samples_BRIDGER,0.92,384
Fold01_200x_PE_samples_BRIDGER,0.91,383
Fold01_200x_PE_samples_BRIDGER,0.90,379
Fold01_200x_PE_samples_BRIDGER,0.80,356
Fold01_200x_PE_samples_BRIDGER,0.70,324
Fold01_200x_PE_samples_BRIDGER,0.60,281
Fold01_200x_PE_samples_BRIDGER,0.50,206
Fold01_200x_PE_samples_CSTONE,1.00,314
Fold01_200x_PE_samples_CSTONE,0.99,279
Fold01_200x_PE_samples_CSTONE,0.98,274
Fold01_200x_PE_samples_CSTONE,0.97,270
Fold01_200x_PE_samples_CSTONE,0.96,268
Fold01_200x_PE_samples_CSTONE,0.95,268
Fold01_200x_PE_samples_CSTONE,0.94,267
Fold01_200x_PE_samples_CSTONE,0.93,266
Fold01_200x_PE_samples_CSTONE,0.92,265
Fold01_200x_PE_samples_CSTONE,0.91,264
Fold01_200x_PE_samples_CSTONE,0.90,262
Fold01_200x_PE_samples_CSTONE,0.80,251
Fold01_200x_PE_samples_CSTONE,0.70,231
Fold01_200x_PE_samples_CSTONE,0.60,212
Fold01_200x_PE_samples_CSTONE,0.50,157
Fold01_200x_PE_samples_IDBA,1.00,415
Fold01_200x_PE_samples_IDBA,0.99,415
Fold01_200x_PE_samples_IDBA,0.98,413
Fold01_200x_PE_samples_IDBA,0.97,410
Fold01_200x_PE_samples_IDBA,0.96,404
Fold01_200x_PE_samples_IDBA,0.95,403
Fold01_200x_PE_samples_IDBA,0.94,400
Fold01_200x_PE_samples_IDBA,0.93,400
Fold01_200x_PE_samples_IDBA,0.92,398
Fold01_200x_PE_samples_IDBA,0.91,392
Fold01_200x_PE_samples_IDBA,0.90,389
Fold01_200x_PE_samples_IDBA,0.80,309
Fold01_200x_PE_samples_IDBA,0.70,244
Fold01_200x_PE_samples_IDBA,0.60,220
Fold01_200x_PE_samples_IDBA,0.50,181
Fold01_200x_PE_samples_MEGAHIT,1.00,460
Fold01_200x_PE_samples_MEGAHIT,0.99,455
Fold01_200x_PE_samples_MEGAHIT,0.98,454
Fold01_200x_PE_samples_MEGAHIT,0.97,448
Fold01_200x_PE_samples_MEGAHIT,0.96,444
Fold01_200x_PE_samples_MEGAHIT,0.95,443
Fold01_200x_PE_samples_MEGAHIT,0.94,438
Fold01_200x_PE_samples_MEGAHIT,0.93,434
Fold01_200x_PE_samples_MEGAHIT,0.92,431
Fold01_200x_PE_samples_MEGAHIT,0.91,426
Fold01_200x_PE_samples_MEGAHIT,0.90,416
Fold01_200x_PE_samples_MEGAHIT,0.80,305
Fold01_200x_PE_samples_MEGAHIT,0.70,244
Fold01_200x_PE_samples_MEGAHIT,0.60,209
Fold01_200x_PE_samples_MEGAHIT,0.50,178
Fold01_200x_PE_samples_MERGEPIPE,1.00,171246
Fold01_200x_PE_samples_MERGEPIPE,0.99,125304
Fold01_200x_PE_samples_MERGEPIPE,0.98,90994
Fold01_200x_PE_samples_MERGEPIPE,0.97,74095
Fold01_200x_PE_samples_MERGEPIPE,0.96,66776
Fold01_200x_PE_samples_MERGEPIPE,0.95,62747
Fold01_200x_PE_samples_MERGEPIPE,0.94,60109
Fold01_200x_PE_samples_MERGEPIPE,0.93,58180
Fold01_200x_PE_samples_MERGEPIPE,0.92,56663
Fold01_200x_PE_samples_MERGEPIPE,0.91,55299
Fold01_200x_PE_samples_MERGEPIPE,0.90,54007
Fold01_200x_PE_samples_MERGEPIPE,0.80,63327
Fold01_200x_PE_samples_MERGEPIPE,0.70,54457
Fold01_200x_PE_samples_MERGEPIPE,0.60,50816
Fold01_200x_PE_samples_MERGEPIPE,0.50,45253
Fold01_200x_PE_samples_PLASS,1.00,169583
Fold01_200x_PE_samples_PLASS,0.99,123204
Fold01_200x_PE_samples_PLASS,0.98,89402
Fold01_200x_PE_samples_PLASS,0.97,72782
Fold01_200x_PE_samples_PLASS,0.96,65620
Fold01_200x_PE_samples_PLASS,0.95,61892
Fold01_200x_PE_samples_PLASS,0.94,59037
Fold01_200x_PE_samples_PLASS,0.93,57324
Fold01_200x_PE_samples_PLASS,0.92,55784
Fold01_200x_PE_samples_PLASS,0.91,54479
Fold01_200x_PE_samples_PLASS,0.90,53244
Fold01_200x_PE_samples_PLASS,0.80,62352
Fold01_200x_PE_samples_PLASS,0.70,53895
Fold01_200x_PE_samples_PLASS,0.60,49876
Fold01_200x_PE_samples_PLASS,0.50,44384
Fold01_200x_PE_samples_RNABLOOM,1.00,2127
Fold01_200x_PE_samples_RNABLOOM,0.99,2049
Fold01_200x_PE_samples_RNABLOOM,0.98,1953
Fold01_200x_PE_samples_RNABLOOM,0.97,1832
Fold01_200x_PE_samples_RNABLOOM,0.96,1736
Fold01_200x_PE_samples_RNABLOOM,0.95,1672
Fold01_200x_PE_samples_RNABLOOM,0.94,1634
Fold01_200x_PE_samples_RNABLOOM,0.93,1601
Fold01_200x_PE_samples_RNABLOOM,0.92,1568
Fold01_200x_PE_samples_RNABLOOM,0.91,1532
Fold01_200x_PE_samples_RNABLOOM,0.90,1500
Fold01_200x_PE_samples_RNABLOOM,0.80,1156
Fold01_200x_PE_samples_RNABLOOM,0.70,857
Fold01_200x_PE_samples_RNABLOOM,0.60,737
Fold01_200x_PE_samples_RNABLOOM,0.50,580
Fold01_200x_PE_samples_SOAPDENOVO,1.00,680
Fold01_200x_PE_samples_SOAPDENOVO,0.99,680
Fold01_200x_PE_samples_SOAPDENOVO,0.98,680
Fold01_200x_PE_samples_SOAPDENOVO,0.97,680
Fold01_200x_PE_samples_SOAPDENOVO,0.96,678
Fold01_200x_PE_samples_SOAPDENOVO,0.95,677
Fold01_200x_PE_samples_SOAPDENOVO,0.94,676
Fold01_200x_PE_samples_SOAPDENOVO,0.93,676
Fold01_200x_PE_samples_SOAPDENOVO,0.92,672
Fold01_200x_PE_samples_SOAPDENOVO,0.91,665
Fold01_200x_PE_samples_SOAPDENOVO,0.90,662
Fold01_200x_PE_samples_SOAPDENOVO,0.80,637
Fold01_200x_PE_samples_SOAPDENOVO,0.70,596
Fold01_200x_PE_samples_SOAPDENOVO,0.60,527
Fold01_200x_PE_samples_SOAPDENOVO,0.50,350
Fold01_200x_PE_samples_SPADES,1.00,665
Fold01_200x_PE_samples_SPADES,0.99,662
Fold01_200x_PE_samples_SPADES,0.98,655
Fold01_200x_PE_samples_SPADES,0.97,651
Fold01_200x_PE_samples_SPADES,0.96,650
Fold01_200x_PE_samples_SPADES,0.95,649
Fold01_200x_PE_samples_SPADES,0.94,643
Fold01_200x_PE_samples_SPADES,0.93,640
Fold01_200x_PE_samples_SPADES,0.92,629
Fold01_200x_PE_samples_SPADES,0.91,622
Fold01_200x_PE_samples_SPADES,0.90,618
Fold01_200x_PE_samples_SPADES,0.80,502
Fold01_200x_PE_samples_SPADES,0.70,398
Fold01_200x_PE_samples_SPADES,0.60,343
Fold01_200x_PE_samples_SPADES,0.50,251
Fold01_200x_PE_samples_STRINGTIE,1.00,1455
Fold01_200x_PE_samples_STRINGTIE,0.99,1315
Fold01_200x_PE_samples_STRINGTIE,0.98,1225
Fold01_200x_PE_samples_STRINGTIE,0.97,1166
Fold01_200x_PE_samples_STRINGTIE,0.96,1127
Fold01_200x_PE_samples_STRINGTIE,0.95,1087
Fold01_200x_PE_samples_STRINGTIE,0.94,1051
Fold01_200x_PE_samples_STRINGTIE,0.93,1021
Fold01_200x_PE_samples_STRINGTIE,0.92,993
Fold01_200x_PE_samples_STRINGTIE,0.91,967
Fold01_200x_PE_samples_STRINGTIE,0.90,931
Fold01_200x_PE_samples_STRINGTIE,0.80,580
Fold01_200x_PE_samples_STRINGTIE,0.70,412
Fold01_200x_PE_samples_STRINGTIE,0.60,313
Fold01_200x_PE_samples_STRINGTIE,0.50,209
Fold01_200x_PE_samples_TRANSABBYS,1.00,2154
Fold01_200x_PE_samples_TRANSABBYS,0.99,1912
Fold01_200x_PE_samples_TRANSABBYS,0.98,1785
Fold01_200x_PE_samples_TRANSABBYS,0.97,1781
Fold01_200x_PE_samples_TRANSABBYS,0.96,1777
Fold01_200x_PE_samples_TRANSABBYS,0.95,1773
Fold01_200x_PE_samples_TRANSABBYS,0.94,1762
Fold01_200x_PE_samples_TRANSABBYS,0.93,1757
Fold01_200x_PE_samples_TRANSABBYS,0.92,1747
Fold01_200x_PE_samples_TRANSABBYS,0.91,1742
Fold01_200x_PE_samples_TRANSABBYS,0.90,1732
Fold01_200x_PE_samples_TRANSABBYS,0.80,1616
Fold01_200x_PE_samples_TRANSABBYS,0.70,1389
Fold01_200x_PE_samples_TRANSABBYS,0.60,1192
Fold01_200x_PE_samples_TRANSABBYS,0.50,701
Fold01_200x_PE_samples_TRINITY,1.00,1387
Fold01_200x_PE_samples_TRINITY,0.99,1348
Fold01_200x_PE_samples_TRINITY,0.98,1287
Fold01_200x_PE_samples_TRINITY,0.97,1210
Fold01_200x_PE_samples_TRINITY,0.96,1143
Fold01_200x_PE_samples_TRINITY,0.95,1112
Fold01_200x_PE_samples_TRINITY,0.94,1069
Fold01_200x_PE_samples_TRINITY,0.93,1041
Fold01_200x_PE_samples_TRINITY,0.92,1010
Fold01_200x_PE_samples_TRINITY,0.91,987
Fold01_200x_PE_samples_TRINITY,0.90,967
Fold01_200x_PE_samples_TRINITY,0.80,769
Fold01_200x_PE_samples_TRINITY,0.70,599
Fold01_200x_PE_samples_TRINITY,0.60,503
Fold01_200x_PE_samples_TRINITY,0.50,362
Fold02_200x_PE_samples_BINPACKER,1.00,698
Fold02_200x_PE_samples_BINPACKER,0.99,572
Fold02_200x_PE_samples_BINPACKER,0.98,530
Fold02_200x_PE_samples_BINPACKER,0.97,506
Fold02_200x_PE_samples_BINPACKER,0.96,487
Fold02_200x_PE_samples_BINPACKER,0.95,474
Fold02_200x_PE_samples_BINPACKER,0.94,468
Fold02_200x_PE_samples_BINPACKER,0.93,455
Fold02_200x_PE_samples_BINPACKER,0.92,452
Fold02_200x_PE_samples_BINPACKER,0.91,442
Fold02_200x_PE_samples_BINPACKER,0.90,434
Fold02_200x_PE_samples_BINPACKER,0.80,394
Fold02_200x_PE_samples_BINPACKER,0.70,359
Fold02_200x_PE_samples_BINPACKER,0.60,326
Fold02_200x_PE_samples_BINPACKER,0.50,235
Fold02_200x_PE_samples_BRIDGER,1.00,503
Fold02_200x_PE_samples_BRIDGER,0.99,460
Fold02_200x_PE_samples_BRIDGER,0.98,443
Fold02_200x_PE_samples_BRIDGER,0.97,428
Fold02_200x_PE_samples_BRIDGER,0.96,417
Fold02_200x_PE_samples_BRIDGER,0.95,410
Fold02_200x_PE_samples_BRIDGER,0.94,400
Fold02_200x_PE_samples_BRIDGER,0.93,393
Fold02_200x_PE_samples_BRIDGER,0.92,390
Fold02_200x_PE_samples_BRIDGER,0.91,379
Fold02_200x_PE_samples_BRIDGER,0.90,375
Fold02_200x_PE_samples_BRIDGER,0.80,341
Fold02_200x_PE_samples_BRIDGER,0.70,318
Fold02_200x_PE_samples_BRIDGER,0.60,287
Fold02_200x_PE_samples_BRIDGER,0.50,199
Fold02_200x_PE_samples_CSTONE,1.00,319
Fold02_200x_PE_samples_CSTONE,0.99,287
Fold02_200x_PE_samples_CSTONE,0.98,283
Fold02_200x_PE_samples_CSTONE,0.97,275
Fold02_200x_PE_samples_CSTONE,0.96,273
Fold02_200x_PE_samples_CSTONE,0.95,273
Fold02_200x_PE_samples_CSTONE,0.94,272
Fold02_200x_PE_samples_CSTONE,0.93,271
Fold02_200x_PE_samples_CSTONE,0.92,271
Fold02_200x_PE_samples_CSTONE,0.91,269
Fold02_200x_PE_samples_CSTONE,0.90,269
Fold02_200x_PE_samples_CSTONE,0.80,262
Fold02_200x_PE_samples_CSTONE,0.70,244
Fold02_200x_PE_samples_CSTONE,0.60,217
Fold02_200x_PE_samples_CSTONE,0.50,145
Fold02_200x_PE_samples_IDBA,1.00,442
Fold02_200x_PE_samples_IDBA,0.99,442
Fold02_200x_PE_samples_IDBA,0.98,440
Fold02_200x_PE_samples_IDBA,0.97,436
Fold02_200x_PE_samples_IDBA,0.96,432
Fold02_200x_PE_samples_IDBA,0.95,429
Fold02_200x_PE_samples_IDBA,0.94,426
Fold02_200x_PE_samples_IDBA,0.93,420
Fold02_200x_PE_samples_IDBA,0.92,418
Fold02_200x_PE_samples_IDBA,0.91,415
Fold02_200x_PE_samples_IDBA,0.90,408
Fold02_200x_PE_samples_IDBA,0.80,302
Fold02_200x_PE_samples_IDBA,0.70,239
Fold02_200x_PE_samples_IDBA,0.60,210
Fold02_200x_PE_samples_IDBA,0.50,184
Fold02_200x_PE_samples_MEGAHIT,1.00,468
Fold02_200x_PE_samples_MEGAHIT,0.99,466
Fold02_200x_PE_samples_MEGAHIT,0.98,459
Fold02_200x_PE_samples_MEGAHIT,0.97,457
Fold02_200x_PE_samples_MEGAHIT,0.96,451
Fold02_200x_PE_samples_MEGAHIT,0.95,448
Fold02_200x_PE_samples_MEGAHIT,0.94,444
Fold02_200x_PE_samples_MEGAHIT,0.93,440
Fold02_200x_PE_samples_MEGAHIT,0.92,435
Fold02_200x_PE_samples_MEGAHIT,0.91,430
Fold02_200x_PE_samples_MEGAHIT,0.90,425
Fold02_200x_PE_samples_MEGAHIT,0.80,319
Fold02_200x_PE_samples_MEGAHIT,0.70,256
Fold02_200x_PE_samples_MEGAHIT,0.60,228
Fold02_200x_PE_samples_MEGAHIT,0.50,187
Fold02_200x_PE_samples_MERGEPIPE,1.00,171920
Fold02_200x_PE_samples_MERGEPIPE,0.99,126135
Fold02_200x_PE_samples_MERGEPIPE,0.98,91847
Fold02_200x_PE_samples_MERGEPIPE,0.97,75297
Fold02_200x_PE_samples_MERGEPIPE,0.96,68009
Fold02_200x_PE_samples_MERGEPIPE,0.95,64443
Fold02_200x_PE_samples_MERGEPIPE,0.94,61623
Fold02_200x_PE_samples_MERGEPIPE,0.93,59655
Fold02_200x_PE_samples_MERGEPIPE,0.92,57940
Fold02_200x_PE_samples_MERGEPIPE,0.91,56445
Fold02_200x_PE_samples_MERGEPIPE,0.90,54892
Fold02_200x_PE_samples_MERGEPIPE,0.80,65278
Fold02_200x_PE_samples_MERGEPIPE,0.70,56374
Fold02_200x_PE_samples_MERGEPIPE,0.60,52486
Fold02_200x_PE_samples_MERGEPIPE,0.50,46497
Fold02_200x_PE_samples_PLASS,1.00,169953
Fold02_200x_PE_samples_PLASS,0.99,123820
Fold02_200x_PE_samples_PLASS,0.98,89906
Fold02_200x_PE_samples_PLASS,0.97,73968
Fold02_200x_PE_samples_PLASS,0.96,66825
Fold02_200x_PE_samples_PLASS,0.95,63107
Fold02_200x_PE_samples_PLASS,0.94,60533
Fold02_200x_PE_samples_PLASS,0.93,58693
Fold02_200x_PE_samples_PLASS,0.92,56955
Fold02_200x_PE_samples_PLASS,0.91,55540
Fold02_200x_PE_samples_PLASS,0.90,53912
Fold02_200x_PE_samples_PLASS,0.80,64086
Fold02_200x_PE_samples_PLASS,0.70,55936
Fold02_200x_PE_samples_PLASS,0.60,51604
Fold02_200x_PE_samples_PLASS,0.50,45767
Fold02_200x_PE_samples_RNABLOOM,1.00,2178
Fold02_200x_PE_samples_RNABLOOM,0.99,2076
Fold02_200x_PE_samples_RNABLOOM,0.98,1971
Fold02_200x_PE_samples_RNABLOOM,0.97,1862
Fold02_200x_PE_samples_RNABLOOM,0.96,1771
Fold02_200x_PE_samples_RNABLOOM,0.95,1713
Fold02_200x_PE_samples_RNABLOOM,0.94,1670
Fold02_200x_PE_samples_RNABLOOM,0.93,1630
Fold02_200x_PE_samples_RNABLOOM,0.92,1595
Fold02_200x_PE_samples_RNABLOOM,0.91,1562
Fold02_200x_PE_samples_RNABLOOM,0.90,1518
Fold02_200x_PE_samples_RNABLOOM,0.80,1165
Fold02_200x_PE_samples_RNABLOOM,0.70,863
Fold02_200x_PE_samples_RNABLOOM,0.60,721
Fold02_200x_PE_samples_RNABLOOM,0.50,567
Fold02_200x_PE_samples_SOAPDENOVO,1.00,696
Fold02_200x_PE_samples_SOAPDENOVO,0.99,696
Fold02_200x_PE_samples_SOAPDENOVO,0.98,696
Fold02_200x_PE_samples_SOAPDENOVO,0.97,696
Fold02_200x_PE_samples_SOAPDENOVO,0.96,695
Fold02_200x_PE_samples_SOAPDENOVO,0.95,695
Fold02_200x_PE_samples_SOAPDENOVO,0.94,693
Fold02_200x_PE_samples_SOAPDENOVO,0.93,688
Fold02_200x_PE_samples_SOAPDENOVO,0.92,685
Fold02_200x_PE_samples_SOAPDENOVO,0.91,682
Fold02_200x_PE_samples_SOAPDENOVO,0.90,678
Fold02_200x_PE_samples_SOAPDENOVO,0.80,651
Fold02_200x_PE_samples_SOAPDENOVO,0.70,607
Fold02_200x_PE_samples_SOAPDENOVO,0.60,531
Fold02_200x_PE_samples_SOAPDENOVO,0.50,341
Fold02_200x_PE_samples_SPADES,1.00,660
Fold02_200x_PE_samples_SPADES,0.99,656
Fold02_200x_PE_samples_SPADES,0.98,653
Fold02_200x_PE_samples_SPADES,0.97,651
Fold02_200x_PE_samples_SPADES,0.96,649
Fold02_200x_PE_samples_SPADES,0.95,647
Fold02_200x_PE_samples_SPADES,0.94,642
Fold02_200x_PE_samples_SPADES,0.93,633
Fold02_200x_PE_samples_SPADES,0.92,628
Fold02_200x_PE_samples_SPADES,0.91,619
Fold02_200x_PE_samples_SPADES,0.90,610
Fold02_200x_PE_samples_SPADES,0.80,503
Fold02_200x_PE_samples_SPADES,0.70,393
Fold02_200x_PE_samples_SPADES,0.60,337
Fold02_200x_PE_samples_SPADES,0.50,232
Fold02_200x_PE_samples_STRINGTIE,1.00,1450
Fold02_200x_PE_samples_STRINGTIE,0.99,1297
Fold02_200x_PE_samples_STRINGTIE,0.98,1209
Fold02_200x_PE_samples_STRINGTIE,0.97,1168
Fold02_200x_PE_samples_STRINGTIE,0.96,1129
Fold02_200x_PE_samples_STRINGTIE,0.95,1094
Fold02_200x_PE_samples_STRINGTIE,0.94,1055
Fold02_200x_PE_samples_STRINGTIE,0.93,1023
Fold02_200x_PE_samples_STRINGTIE,0.92,999
Fold02_200x_PE_samples_STRINGTIE,0.91,969
Fold02_200x_PE_samples_STRINGTIE,0.90,938
Fold02_200x_PE_samples_STRINGTIE,0.80,594
Fold02_200x_PE_samples_STRINGTIE,0.70,396
Fold02_200x_PE_samples_STRINGTIE,0.60,303
Fold02_200x_PE_samples_STRINGTIE,0.50,200
Fold02_200x_PE_samples_TRANSABBYS,1.00,2028
Fold02_200x_PE_samples_TRANSABBYS,0.99,1854
Fold02_200x_PE_samples_TRANSABBYS,0.98,1730
Fold02_200x_PE_samples_TRANSABBYS,0.97,1726
Fold02_200x_PE_samples_TRANSABBYS,0.96,1720
Fold02_200x_PE_samples_TRANSABBYS,0.95,1715
Fold02_200x_PE_samples_TRANSABBYS,0.94,1712
Fold02_200x_PE_samples_TRANSABBYS,0.93,1705
Fold02_200x_PE_samples_TRANSABBYS,0.92,1700
Fold02_200x_PE_samples_TRANSABBYS,0.91,1693
Fold02_200x_PE_samples_TRANSABBYS,0.90,1691
Fold02_200x_PE_samples_TRANSABBYS,0.80,1555
Fold02_200x_PE_samples_TRANSABBYS,0.70,1330
Fold02_200x_PE_samples_TRANSABBYS,0.60,1132
Fold02_200x_PE_samples_TRANSABBYS,0.50,653
Fold02_200x_PE_samples_TRINITY,1.00,1369
Fold02_200x_PE_samples_TRINITY,0.99,1338
Fold02_200x_PE_samples_TRINITY,0.98,1263
Fold02_200x_PE_samples_TRINITY,0.97,1190
Fold02_200x_PE_samples_TRINITY,0.96,1137
Fold02_200x_PE_samples_TRINITY,0.95,1084
Fold02_200x_PE_samples_TRINITY,0.94,1040
Fold02_200x_PE_samples_TRINITY,0.93,1021
Fold02_200x_PE_samples_TRINITY,0.92,987
Fold02_200x_PE_samples_TRINITY,0.91,958
Fold02_200x_PE_samples_TRINITY,0.90,943
Fold02_200x_PE_samples_TRINITY,0.80,717
Fold02_200x_PE_samples_TRINITY,0.70,550
Fold02_200x_PE_samples_TRINITY,0.60,476
Fold02_200x_PE_samples_TRINITY,0.50,343
Fold03_200x_PE_samples_BINPACKER,1.00,667
Fold03_200x_PE_samples_BINPACKER,0.99,576
Fold03_200x_PE_samples_BINPACKER,0.98,539
Fold03_200x_PE_samples_BINPACKER,0.97,520
Fold03_200x_PE_samples_BINPACKER,0.96,501
Fold03_200x_PE_samples_BINPACKER,0.95,494
Fold03_200x_PE_samples_BINPACKER,0.94,488
Fold03_200x_PE_samples_BINPACKER,0.93,477
Fold03_200x_PE_samples_BINPACKER,0.92,467
Fold03_200x_PE_samples_BINPACKER,0.91,458
Fold03_200x_PE_samples_BINPACKER,0.90,452
Fold03_200x_PE_samples_BINPACKER,0.80,428
Fold03_200x_PE_samples_BINPACKER,0.70,386
Fold03_200x_PE_samples_BINPACKER,0.60,336
Fold03_200x_PE_samples_BINPACKER,0.50,228
Fold03_200x_PE_samples_BRIDGER,1.00,535
Fold03_200x_PE_samples_BRIDGER,0.99,499
Fold03_200x_PE_samples_BRIDGER,0.98,472
Fold03_200x_PE_samples_BRIDGER,0.97,453
Fold03_200x_PE_samples_BRIDGER,0.96,435
Fold03_200x_PE_samples_BRIDGER,0.95,429
Fold03_200x_PE_samples_BRIDGER,0.94,420
Fold03_200x_PE_samples_BRIDGER,0.93,408
Fold03_200x_PE_samples_BRIDGER,0.92,400
Fold03_200x_PE_samples_BRIDGER,0.91,394
Fold03_200x_PE_samples_BRIDGER,0.90,391
Fold03_200x_PE_samples_BRIDGER,0.80,370
Fold03_200x_PE_samples_BRIDGER,0.70,337
Fold03_200x_PE_samples_BRIDGER,0.60,300
Fold03_200x_PE_samples_BRIDGER,0.50,204
Fold03_200x_PE_samples_CSTONE,1.00,314
Fold03_200x_PE_samples_CSTONE,0.99,281
Fold03_200x_PE_samples_CSTONE,0.98,274
Fold03_200x_PE_samples_CSTONE,0.97,270
Fold03_200x_PE_samples_CSTONE,0.96,270
Fold03_200x_PE_samples_CSTONE,0.95,267
Fold03_200x_PE_samples_CSTONE,0.94,267
Fold03_200x_PE_samples_CSTONE,0.93,265
Fold03_200x_PE_samples_CSTONE,0.92,264
Fold03_200x_PE_samples_CSTONE,0.91,264
Fold03_200x_PE_samples_CSTONE,0.90,264
Fold03_200x_PE_samples_CSTONE,0.80,257
Fold03_200x_PE_samples_CSTONE,0.70,233
Fold03_200x_PE_samples_CSTONE,0.60,213
Fold03_200x_PE_samples_CSTONE,0.50,149
Fold03_200x_PE_samples_IDBA,1.00,433
Fold03_200x_PE_samples_IDBA,0.99,433
Fold03_200x_PE_samples_IDBA,0.98,431
Fold03_200x_PE_samples_IDBA,0.97,426
Fold03_200x_PE_samples_IDBA,0.96,424
Fold03_200x_PE_samples_IDBA,0.95,423
Fold03_200x_PE_samples_IDBA,0.94,418
Fold03_200x_PE_samples_IDBA,0.93,417
Fold03_200x_PE_samples_IDBA,0.92,416
Fold03_200x_PE_samples_IDBA,0.91,411
Fold03_200x_PE_samples_IDBA,0.90,407
Fold03_200x_PE_samples_IDBA,0.80,321
Fold03_200x_PE_samples_IDBA,0.70,259
Fold03_200x_PE_samples_IDBA,0.60,231
Fold03_200x_PE_samples_IDBA,0.50,200
Fold03_200x_PE_samples_MEGAHIT,1.00,473
Fold03_200x_PE_samples_MEGAHIT,0.99,468
Fold03_200x_PE_samples_MEGAHIT,0.98,466
Fold03_200x_PE_samples_MEGAHIT,0.97,464
Fold03_200x_PE_samples_MEGAHIT,0.96,459
Fold03_200x_PE_samples_MEGAHIT,0.95,454
Fold03_200x_PE_samples_MEGAHIT,0.94,449
Fold03_200x_PE_samples_MEGAHIT,0.93,445
Fold03_200x_PE_samples_MEGAHIT,0.92,443
Fold03_200x_PE_samples_MEGAHIT,0.91,440
Fold03_200x_PE_samples_MEGAHIT,0.90,432
Fold03_200x_PE_samples_MEGAHIT,0.80,336
Fold03_200x_PE_samples_MEGAHIT,0.70,277
Fold03_200x_PE_samples_MEGAHIT,0.60,236
Fold03_200x_PE_samples_MEGAHIT,0.50,193
Fold03_200x_PE_samples_MERGEPIPE,1.00,173223
Fold03_200x_PE_samples_MERGEPIPE,0.99,126896
Fold03_200x_PE_samples_MERGEPIPE,0.98,91950
